id,antig,m2total,m2cub,ambientes,banios,direccion,barrio,comuna,latitud,longitud,precioUSD,m2precioUSD,comisaria_dista,obelisco_dista,nrobos,sup_espacio_verde,count_gastronomia,count_culturales
3218,0,45,45,0,0,Tucuman  500,SAN NICOLAS,1,-34.601001,-58.374453,175000,3888.888889,149.55678708512193,718.5748069599719,234,195907.806,228,16
3219,0,80,80,0,2,Peru al 800,SAN TELMO,1,-34.617116,-58.374409,180000,2250,351.64727585236164,1626.8362780439481,193,94033.847,77,21
3220,0,224,224,0,0,Per������ 900,SAN TELMO,1,-34.619513,-58.3744,520000,2321,88.02803591607369,1873.4524733597227,201,126761.072,64,17
3221,0,78,78,0,0,Per������ 900,SAN TELMO,1,-34.619513,-58.3744,250000,3205,88.02803591607369,1873.4524733597227,201,126761.072,64,17
3222,60,224,224,0,0,Per+�-� 1000,SAN TELMO,1,-34.619513,-58.3744,470000,2098,88.02803591607369,1873.4524733597227,201,126761.072,64,17
3223,49,78,78,0,0,Per+�-� 950,SAN TELMO,1,-34.619513,-58.3744,230000,2949,88.02803591607369,1873.4524733597227,201,126761.072,64,17
3224,60,224,0,0,0,Per+�+�+�+�+�-� 1000,SAN TELMO,1,-34.619513,-58.3744,470000,2098,88.02803591607369,1873.4524733597227,201,126761.072,64,17
3225,49,78,0,0,0,Per+�+�+�+�+�-� 950,SAN TELMO,1,-34.619513,-58.3744,230000,2949,88.02803591607369,1873.4524733597227,201,126761.072,64,17
3226,45,500,500,0,1,AV. DE Mayo Y Peru,MONTSERRAT,1,-34.60865,-58.374356,1200000,2400,755.0275790206143,860.0913123621742,174,119679.021,83,48
3227,25,46,46,0,2,C+���+�-�rdoba al 400,RETIRO,1,-34.595888,-58.37431,95000,2065.217391,555.742685140916,1093.2284104738742,129,139286.842,75,9
3228,35,164,164,0,0,Paraguay 500,RETIRO,1,-34.597438,-58.374253,790000,4817,504.224578178619,966.2560053278561,149,152857.951,124,7
3229,50,80,80,0,2,peru 900,SAN TELMO,1,-34.61857,-58.374221,175000,2187,189.64979784868916,1782.035635884456,208,106724.168,77,22
3230,0,33,33,0,1,Paraguay al 500,RETIRO,1,-34.597445,-58.374217,129500,3924,502.865053888075,967.9971077113113,150,152702.426,124,6
3231,20,425,425,0,1,paraguay 500,RETIRO,1,-34.597445,-58.374217,700000,1647,502.865053888075,967.9971077113113,150,152702.426,124,6
3232,0,33,33,0,1,san martin al 700,SAN NICOLAS,1,-34.598917,-58.374159,49000,1484,342.0402612764568,862.6944877099698,184,169921.429,172,7
3233,0,33,33,0,1,san martin al 700,SAN NICOLAS,1,-34.598917,-58.374159,40000,1212,342.0402612764568,862.6944877099698,184,169921.429,172,7
3234,40,0,204,0,0,Suarez 1700,BARRACAS,4,-34.63855,-58.374143,970000,4754,88.5971101772332,3925.557276474506,127,80383.955,17,2
3235,3,36,36,0,1,Uspallata al 700,BARRACAS,4,-34.631531,-58.374141,90000,2500,727.9994247731279,3161.6712675341946,90,182721.056,10,4
3236,2,37,37,1,1,Uspallata 773,BARRACAS,4,-34.631531,-58.374141,90000,2432,727.9994247731279,3161.6712675341946,90,182721.056,10,4
3237,2,84,84,0,0,peru 1300,SAN TELMO,1,-34.62364,-58.374106,140000,1666,372.92394976053663,2315.5467351804073,189,135326.54,43,9
3238,0,770,770,0,3,Peru al 1200,SAN TELMO,1,-34.622305,-58.373994,935000,1214,225.24656301644995,2177.777659398598,198,136206.505,55,12
3239,50,240,220,0,4,carlos calvo 571,SAN TELMO,1,-34.619589,-58.373905,330000,1500,79.68538209135262,1897.658720756667,201,129155.763,68,16
3240,0,242,238,0,5,Carlos Calvo al 500 e/ Bolivar  y Per+�+�+�+�+�-�,SAN TELMO,1,-34.619589,-58.373905,425000,1785,79.64532202008405,1897.7033324946253,201,129162.18800000001,68,16
3241,28,242,220,0,4,Carlos Calvo  al 500,SAN TELMO,1,-34.619589,-58.373905,349000,1586,79.64532202008405,1897.7033324946253,201,129162.18800000001,68,16
3242,0,54,54,0,1,Ituzaingo al 600,BARRACAS,4,-34.629812,-58.373898,93000,1722,919.9632018301636,2980.9310713778527,116,194336.653,10,5
3243,35,31,31,0,0,Av. Montes de Oca,BARRACAS,4,-34.643853,-58.373863,120000,3870.967742,388.7809183007398,4510.016925376196,78,57110.744,15,0
3244,64,193,193,5,2,San Martin al 400 Piso 1,SAN NICOLAS,1,-34.602179,-58.373814,320000,1658.031088,60.356230909056585,731.5407842170396,229,175357.759,218,27
3245,0,79,79,0,1,Lavalle  al 500,SAN NICOLAS,1,-34.60214,-58.373786,750000,9493,56.01847749203,735.0472580343429,229,175283.919,215,26
3246,35,315,315,0,0,Isabel La Catolica al 400,BARRACAS,4,-34.636792,-58.373741,840000,2666,177.00917074185938,3740.5559137129676,126,102054.079,16,2
3247,0,600,600,0,3,SAN MARTIN 50,SAN NICOLAS,1,-34.607284,-58.373726,1400000,2333,598.2113953984771,822.3051515906526,182,120717.182,98,47
3248,0,60,60,0,0,Av.C������rdoba,SAN NICOLAS,1,-34.598733,-58.373702,110000,1833,354.50106013136156,908.3534151397938,163,169578.906,161,7
3249,0,600,0,18,4,Sarmiento  al 400- Oficinas - Edificio de Oficinas,SAN NICOLAS,1,-34.605688,-58.37364,950000,1583,421.09445850877256,760.3988888900943,192,133297.065,135,38
3250,20,425,425,0,1,Paraguay  al 400,RETIRO,1,-34.597328,-58.373574,700000,1647.058824,508.76924422157776,1018.9646468641331,142,157921.169,115,6
3251,0,110,110,0,0,DE MAYO  AVDA. 500,MONTSERRAT,1,-34.608515,-58.373572,900000,8181,733.7536513006061,907.7041778189545,166,118635.59,81,47
3252,0,40,40,0,1,Rivadavia 500,MONTSERRAT,1,-34.608295,-58.373508,155000,3875,709.1452600460191,898.3917569949782,166,119333.153,79,48
3253,0,40,40,0,1,Rivadavia 500,MONTSERRAT,1,-34.608295,-58.373508,175000,4375,709.1452600460191,898.3917569949782,166,119333.153,79,48
3254,0,30,30,0,1,ituzaingo al 500,BARRACAS,4,-34.629495,-58.373502,65000,2166,959.1614007335646,2955.6584266480877,102,193326.174,11,5
3255,0,130,110,0,3,Chile,SAN TELMO,1,-34.616076,-58.373456,275000,2500,470.4861043975367,1561.7445228890242,227,95326.573,67,25
3256,0,250,250,0,2,Tres Sargentos al 400,RETIRO,1,-34.597982,-58.37344,580000,2320,435.68988897759897,979.3673369011137,150,168408.572,144,6
3257,40,230,230,0,2,Pasaje Tres Sargentos 454,RETIRO,1,-34.597982,-58.37344,580000,2521,435.68988897759897,979.3673369011137,150,168408.572,144,6
3258,0,236,231,0,0,Per+�-� al 1700,BARRACAS,4,-34.628069000000004,-58.373436,335000,1450,866.6873196151919,2804.395763692643,134,193600.054,15,7
3259,0,30,30,0,1,Peru al 1700,BARRACAS,4,-34.629288,-58.373412,65000,2166,983.039013334041,2935.52685329804,105,194584.723,12,5
3260,0,190,190,0,1,Tres Sargentos al 400,RETIRO,1,-34.597803999999996,-58.373398,350000,1842.105263,455.2847639729197,995.1729881315106,142,167836.584,130,6
3261,0,380,380,0,1,Tres Sargentos al 400,RETIRO,1,-34.597803999999996,-58.373398,350000,921,455.2847639729197,995.1729881315106,142,167836.584,130,6
3262,0,147,147,0,0,Carlos Calvo 600,SAN TELMO,1,-34.6197,-58.373301,320000,2177,100.69510936175585,1930.2420492525694,205,128258.831,73,16
3263,70,147,147,0,0,Carlos Calvo 600,SAN TELMO,1,-34.6197,-58.373301,240000,1633,100.69510936175585,1930.2420492525694,205,128258.831,73,16
3264,70,147,0,0,0,Carlos Calvo 600,SAN TELMO,1,-34.6197,-58.373301,240000,1633,100.69510936175585,1930.2420492525694,205,128258.831,73,16
3265,0,30,30,0,0,California al 1800,BARRACAS,4,-34.646816,-58.373258,280000,9333,144.36310950734452,4843.347120752162,64,55299.771,9,1
3266,40,413,413,0,1,M. T. ALVEAR 400,RETIRO,1,-34.59625,-58.373233,450000,1089,627.458717402876,1126.3067228880216,121,152469.531,73,8
3267,0,90,90,0,1,Quinquela Martin al 1700,BARRACAS,4,-34.643623,-58.373195,270000,3000,429.744914587792,4494.885332992832,74,58329.544,15,0
3268,0,232,232,0,2,LAVALLE al 400,SAN NICOLAS,1,-34.602075,-58.373195,850000,3663,19.2755733841898,789.4523207756617,226,175676.863,206,22
3269,100,750,670,11,4,San Telmo,SAN TELMO,1,-34.621184,-58.373116,1200000,1600,137.95828544698637,2088.8595389686225,207,133184.311,57,13
3270,0,195,195,0,4,Estados Unidos  al 700,SAN TELMO,1,-34.621184,-58.373116,440000,2256,137.95828544698637,2088.8595389686225,207,133184.311,57,13
3271,0,93,93,0,2,Carlos Calvo al 400,SAN TELMO,1,-34.621184,-58.373116,219000,2354,137.95828544698637,2088.8595389686225,207,133184.311,57,13
3272,0,50,50,0,0,Tucuman al 400,SAN NICOLAS,1,-34.600758,-58.373105,285000,5700,128.01386073036085,842.6420350176401,220,184790.375,193,14
3273,0,640,640,1,4,Bolivar al 800,MONTSERRAT,1,-34.613827,-58.373096,2000000,3125,624.1581488947708,1366.2192014232908,187,111693.519,64,29
3274,0,640,640,1,4,Bolivar al 800,MONTSERRAT,1,-34.613827,-58.373096,2000000,3125,624.1581488947708,1366.2192014232908,187,111693.519,64,29
3275,0,540,540,1,3,Suarez al 1500,BARRACAS,4,-34.638445,-58.372959,550000,1018,183.72857137485937,3934.4264768961957,128,85242.454,15,2
3276,0,230,230,0,2,Lavalle 428,SAN NICOLAS,1,-34.602141,-58.372946,900000,3913,37.80717207361804,810.1095043051405,216,180893.896,200,22
3277,30,317,203,0,3,LAVALLE 423,SAN NICOLAS,1,-34.601902,-58.372901,600000,2955,31.531558317970685,820.1876204071352,217,181921.351,193,20
3278,0,118,118,0,2,Alem al 1000,RETIRO,1,-34.595626,-58.372894,650000,5508.474576,677.0445105882927,1198.4760537076388,109,150719.08299999998,59,10
3279,0,118,118,0,2,Alem al 1000,RETIRO,1,-34.595626,-58.372894,650000,5508,677.0445105882927,1198.4760537076388,109,150719.08299999998,59,10
3280,0,118,118,0,2,Alem al 1000,RETIRO,1,-34.595626,-58.372894,650000,5508,677.0445105882927,1198.4760537076388,109,150719.08299999998,59,10
3281,0,118,118,0,2,Alem al 1000,RETIRO,1,-34.595626,-58.372894,650000,5508,677.0445105882927,1198.4760537076388,109,150719.08299999998,59,10
3282,0,118,118,0,2,Alem al 1000,RETIRO,1,-34.595626,-58.372894,650000,5508,677.0445105882927,1198.4760537076388,109,150719.08299999998,59,10
3283,0,118,118,0,2,Alem al 1000,RETIRO,1,-34.595626,-58.372894,650000,5508,677.0897794328125,1198.506525128694,109,150729.235,59,10
3284,0,230,230,3,2,Pasaje Tres Argentos,RETIRO,1,-34.597947,-58.372868,580000,2521,440.5614422374148,1022.326607494296,132,183704.98,132,6
3285,0,260,260,0,0,Venezuela 400,MONTSERRAT,1,-34.613742,-58.372739,420000,1615,656.2247036771697,1377.4817314325414,183,111730.138,63,29
3286,0,61,57,0,0,Venezuela al 400,MONTSERRAT,1,-34.613716,-58.372696,120000,2105,661.1100697390317,1377.4782597214942,182,111615.382,63,29
3287,0,144,144,0,2,Cordoba Av. 379,RETIRO,1,-34.59838,-58.372636,400000,2777,395.1351671324671,1010.2373805517301,141,192150,137,7
3288,80,30,30,0,0,Venezuela al 400,MONTSERRAT,1,-34.613745,-58.372636,89000,2966,663.7651952426465,1383.3284937361504,184,111554.913,64,29
3289,50,200,200,0,1,M+�-�xico al 400,MONTSERRAT,1,-34.614798,-58.372632,295000,1475,605.0434295913619,1479.2404013669097,190,107807.901,65,31
3290,45,1000,1000,0,0,RECONQUISTA 500,SAN NICOLAS,1,-34.60191,-58.37256,1300000,1300,62.80886591733828,850.3529954468388,208,186919.99,192,18
3291,51,280,0,0,0,Chile 459,MONTSERRAT,1,-34.615992,-58.372558,320000,1143,497.3478492067262,1594.673618988613,217,97240.3,70,28
3292,0,268,268,0,2,Chile  al 400,MONTSERRAT,1,-34.615915,-58.372553,350000,1305,505.6533709526951,1587.6152965968215,223,98191.377,70,28
3293,0,200,200,0,0,Reconquista 500,SAN NICOLAS,1,-34.602084,-58.372544,1300000,6500,67.23410134338347,847.485368110529,205,185828.841,191,20
3294,20,855,583,0,3,Arist���+�������bulo del Valle al 1400,BARRACAS,4,-34.635822,-58.372506,1200000,2058,332.13969242019294,3659.079579178276,113,132671.56,15,3
3295,0,400,400,0,0,Bolivar 1700,BARRACAS,4,-34.627924,-58.372495,545000,1362,861.5706703652882,2813.2189145036014,119,194303.832,13,7
3296,40,240,240,0,1,Lavalle al 400,SAN NICOLAS,1,-34.602122,-58.372408,850000,3541.666667,80.39773225007511,858.8119905117085,201,187181.658,191,20
3297,0,114,111,0,1,Bolivar  1761,BARRACAS,4,-34.628894,-58.372383,320000,2882,924.330504790018,2919.1253528307852,104,192253.799,14,7
3298,0,95,95,1,2,M���-�xico 400,MONTSERRAT,1,-34.614829,-58.372377,280000,2947,624.7697636703829,1495.1730276572885,184,107861.351,64,29
3299,25,110,110,2,1,Arzobispo Espinosa,BARRACAS,4,-34.633909,-58.372296,210000,1909,519.3363540546222,3457.4448124360288,101,165040.419,12,4
3300,0,101,91,0,2,Bolivar 1740,BARRACAS,4,-34.628688,-58.372188,225000,2472,896.8325804284084,2902.5078311119937,101,191215.434,12,7
3301,58,77,77,0,0,San Juan 400,SAN TELMO,1,-34.621704,-58.371989,125000,1623.376623,253.33356555662775,2182.0786378273724,210,130650.815,56,12
3302,0,101,101,0,0,Bol+�-�var  1740,BARRACAS,4,-34.628639,-58.371984,195000,1930,878.2059846414982,2902.9307598465384,100,189175.312,10,7
3303,0,400,400,0,0,Defensa 100,MONTSERRAT,1,-34.608997,-58.371957,600000,1500,795.4275891950829,1059.8523742080433,127,155059.085,57,48
3304,0,71,71,0,0,sarmiento,SAN NICOLAS,1,-34.604238,-58.371932,320000,4507,285.3291013651409,886.4212452651674,163,179024.343,139,32
3305,0,340,340,0,3,Defensa al 500,MONTSERRAT,1,-34.614221,-58.37173,890000,2617,707.599076086403,1475.5366227342722,176,113953.14199999999,66,30
3306,0,202,88,0,0,MEXICO 400,MONTSERRAT,1,-34.614911,-58.371714,330000,3750,635.8739548188248,1537.6520767761008,187,107492.638,61,25
3307,0,40,40,0,1,Martin Garcia y Ruy,BARRACAS,4,-34.630491,-58.371657,175000,4375,891.3051057482534,3107.9893120893526,85,167289.28399999999,6,5
3308,0,149,149,0,0,Brasil 400,SAN TELMO,1,-34.625303,-58.371629,198900,1335,603.3301941054043,2564.119716260025,171,161793.51,21,5
3309,0,78,78,0,2,Guzm���+�n  Ruy Diaz al 100,BARRACAS,4,-34.630657,-58.371603,295000,3782,875.6739978038318,3127.0472494100823,83,164935.452,6,5
3310,60,240,240,1,2,Defensa al 1000,SAN TELMO,1,-34.620044,-58.371583,1800000,7500,236.5851982760705,2031.4272081413435,212,122332.733,70,14
3311,0,93,93,0,2,Carlos Calvo al 400,SAN TELMO,1,-34.619546,-58.371573,219000,2354,249.66210489803674,1982.7041252994281,211,120076.433,69,17
3312,0,93,93,0,2,Carlos Calvo al 400,SAN TELMO,1,-34.619546,-58.371573,219000,2354,249.66210489803674,1982.7041252994281,211,120076.433,69,17
3313,60,24,24,0,1,Carlos Calvo al 400,SAN TELMO,1,-34.619546,-58.371573,130000,5416.666667,249.66210489803674,1982.7041252994281,211,120076.433,69,17
3314,60,24,24,0,1,Carlos Calvo al 400,SAN TELMO,1,-34.619546,-58.371573,130000,5416,249.66210489803674,1982.7041252994281,211,120076.433,69,17
3315,0,60,60,0,0,Defensa 864,SAN TELMO,1,-34.617996,-58.371561,297000,4950,346.93343662506373,1832.5477437718523,210,102028.083,73,23
3316,0,200,200,0,2,Defensa 900,SAN TELMO,1,-34.618747,-58.371558,750000,3750,291.965915430401,1905.230411095735,214,113229.84000000001,74,22
3317,0,93,93,0,0,Carlos Calvo,SAN TELMO,1,-34.619519,-58.371515,219000,2354,255.66883143817378,1982.5191980486477,213,118852.04699999999,69,16
3318,0,190,190,0,0,Defensa 1200,SAN TELMO,1,-34.622189,-58.371476,290000,1526,323.9200650841672,2250.377805244924,208,130508.836,54,12
3319,0,38,38,0,1,Aristolulo del valle al 1300,BARRACAS,4,-34.635559,-58.371445,72000,1894,421.89802703370964,3654.1888045041096,116,136244.749,13,3
3320,0,78,78,0,2,RUY DIAZ DE GUZMAN al 100,BARRACAS,4,-34.631239,-58.371436,295000,3782,821.222213325601,3193.2691205548576,67,161562.079,6,5
3321,0,568,490,15,0,Chile al 300  San Telmo,SAN TELMO,1,-34.616109,-58.371422,990000,2020,525.7382239545968,1661.8436697096472,204,100426.503,63,26
3322,0,568,490,15,0,Con Renta  Chile al 300  San Telmo- Hostel y Restaurant- Zona Turistica de San Telmo,SAN TELMO,1,-34.616109,-58.371422,990000,2020,525.7382239545968,1661.8436697096472,204,100426.503,63,26
3323,0,568,490,15,0,Con Renta  Chile al 300  San Telmo- Hostel y Restaurant- Zona Turistica de San Telmo,SAN TELMO,1,-34.616109,-58.371422,990000,2020,525.7382239545968,1661.8436697096472,204,100426.503,63,26
3324,80,568,490,15,6,Chile  300  San Telmo- Hostel y Restaurant- Zona Turistica de San Telmo,SAN TELMO,1,-34.616109,-58.371422,960000,1959,525.7382239545968,1661.8436697096472,204,100426.503,63,26
3325,40,225,225,0,3,25 de mayo 600,SAN NICOLAS,1,-34.600817,-58.371314,237000,1053,214.43470976018793,994.0480768066257,166,218779.801,160,12
3326,0,53,0,0,0,Independencia al 300,SAN TELMO,1,-34.617192,-58.371262,140000,2642,432.7173142018194,1770.4339989795571,189,96317.936,66,27
3327,0,20,20,0,1,Av Independencia 300,SAN TELMO,1,-34.617088,-58.371223,100000,5000,444.0534671773245,1762.6163339645977,189,96474.459,67,27
3328,70,400,400,8,4,25 de mayo,SAN NICOLAS,1,-34.600874,-58.3712,145000,362.5,219.74784723895118,1001.9151258774588,162,222451.94,158,13
3329,0,292,292,0,1,Av. de Mayo al 1200,SAN NICOLAS,1,-34.605049,-58.371125,1500000,5136,399.19563087849104,970.0332648653421,136,205230.808,110,38
3330,0,770,770,16,16,Carlos Calvo al 300,SAN TELMO,1,-34.619429,-58.371125,2000000,2597.402597,292.7370169295161,1990.6592262682,202,112411.36899999999,69,16
3331,70,80,80,0,2,Leandro N. Alem  al 500,SAN NICOLAS,1,-34.605049,-58.371125,570000,7125,399.19563087849104,970.0332648653421,136,205230.808,110,38
3332,0,260,260,0,0,25 de Mayo al 500,SAN NICOLAS,1,-34.601877,-58.371103,470000,1808,196.48194021437752,981.5465586395835,162,215340.74,152,18
3333,0,260,260,0,0,25 de Mayo al 500,SAN NICOLAS,1,-34.601877,-58.371103,500000,1923,196.48194021437752,981.5465586395835,162,215340.74,152,18
3334,0,452,452,0,0,MEXICO 300,MONTSERRAT,1,-34.614825,-58.371002,1100000,2434,670.2190826202763,1569.432730859911,176,114459.174,58,23
3335,63,1500,1500,5,8,Estados Unidos al 300,SAN TELMO,1,-34.618502,-58.370995,2590000,1726,349.86201711856603,1907.210781179634,194,105592.16,71,21
3336,70,520,520,0,2,25 DE MAYO al 200,SAN NICOLAS,1,-34.604994,-58.370982,1950000,3750,400.51565329899785,982.0857199566683,132,207235.786,111,37
3337,70,520,520,0,2,25 DE MAYO al 200,SAN NICOLAS,1,-34.604994,-58.370982,1750000,3365,400.51565329899785,982.0857199566683,132,207235.786,111,37
3338,0,199,199,0,0,MEXICO 300,MONTSERRAT,1,-34.614881,-58.370845,600000,3015,670.9912483394046,1583.2318789092444,172,115640.634,57,23
3339,0,48,48,0,1,RUY DIAZ DE GUZMAN 600,BARRACAS,4,-34.6373,-58.370529,80000,1666,410.37647012261425,3862.465854739154,107,121918.761,14,3
3340,0,140,140,0,3,Balcarce  al 700,SAN TELMO,1,-34.616743,-58.370331,385000,2750,525.6497079884078,1776.6953806348083,162,105857.184,62,24
3341,0,100,100,0,0,BALCARCE 800,SAN TELMO,1,-34.617801,-58.370173,200000,2000,456.4747624042636,1881.5220474238934,167,104624.644,68,17
3342,0,86,86,0,1,Chile al 300,SAN TELMO,1,-34.615979,-58.370118,245000,2848,603.347131657368,1720.2519512576814,174,119544.619,61,21
3343,0,35,35,0,1,AV PATRICIOS  300,BARRACAS,4,-34.633034,-58.3701,150000,4286,711.0555722233662,3419.952523766783,80,168306.805,8,3
3344,5,300,200,0,0,Estados Unidos al 300,SAN TELMO,1,-34.618488,-58.370083,550000,2750,422.33807061608735,1949.7881293193188,168,109962.964,71,16
3345,61,310,310,0,0,Balcarce 800,SAN TELMO,1,-34.618221,-58.370079,1250000,4032,437.36375288226185,1925.1371733648862,168,110274.587,73,15
3346,0,190,190,0,3,av Belgrano al 200,MONTSERRAT,1,-34.612484,-58.369959,335000,1763.157895,945.5419359000351,1443.7148728795846,99,193711.434,63,30
3347,0,53,53,0,1,Avenida Independencia al 300,SAN TELMO,1,-34.617197,-58.369907,135000,2547,517.7519926521228,1840.2792395353897,153,114574.874,64,19
3348,0,126,126,0,2,Estados Unidos al 200,SAN TELMO,1,-34.618471,-58.369857,125000,992,441.59003615176596,1959.4928333064338,161,117489.47200000001,71,15
